user,user_followers,retweeted_user,text,retweeted_user_followers,sentiment,polarity,subjectivity,neg,neu,pos,compound
tuzzi,5517,JohnDennisFCO,today k doses covax astra zeneca vaccine arrived taiwan yesterday uk cohosted …,767,neutral,0.0,0.0,0.0,1.0,0.0,0.0
InCytometry,927,AlastairMcA30,persist spreading misinformation vaccines amplifying grifters people…,28118,negative,0.0,0.0,0.277,0.723,0.0,-0.3182
RouachEric,514,Europe_Israel,apaheid un arabe israélien confirme qu ’ israël vaciné les palestiniens contrairement aux affirmations ’ amnesty et…,15822,neutral,0.0,0.0,0.0,1.0,0.0,0.0
GartsideJackie,694,charlesbrew,studies vaccine vs natural immunity covid yes one covers entire population isra…,2037,positive,0.05,0.5125,0.0,0.658,0.342,0.6369
SAFF1YA,1543,xunnysideup_,gurl israel yg buat vaccine tu ’ think government wouldve already taken action firs…,142,neutral,0.1,0.1,0.0,1.0,0.0,0.0
itssuf,485,MusaubKhanMD,israel ’ vaccination success predicated denying palestinians vaccine israel vaccinated popul…,467,positive,0.3,0.0,0.17,0.567,0.262,0.3182
ErickAbroad,544,DrBryanLeyva,imagine audacity call israel “ model ” covid vaccination greatest vaccine ethnic…,14024,positive,1.0,1.0,0.0,0.682,0.318,0.6369
akhtar_deen,388,farishaaakimi,bugima punya orangsusah scientist islam lead research vaccine covid last israel yang dapat nama🤣 htpstco…,525,neutral,0.0,0.06666666666666667,0.0,1.0,0.0,0.0
ayenamirah,496,amnfdhl__,kalau israel yang buat vaccine tu kan asal dorang juga yang ambik dulu vaccine tu kenapa dorang perlu serang palestin…,11218,neutral,0.0,0.0,0.0,1.0,0.0,0.0
sQuishChick_Oz,823,Carrotsandpars1,issue vaccine 's actually killing research israel 's lo…,15,negative,0.0,0.1,0.355,0.645,0.0,-0.6597
DeniseMembery,5102,eid_bassem,palestinian vacinated israel groups like saying israel vaci…,3771,positive,0.0,0.0,0.0,0.737,0.263,0.3612
3salmon,2774,alexillest,hey biden administration instead approving million weapon sale israel maybe approve larger vaccine sale t…,20291,negative,0.0,0.5,0.136,0.864,0.0,-0.296
gnunis1892,722,Twentytwo13news,prof emeritus datuk mohamed ghouse nasurudin says must conced sincere efo end decadeslong vi…,768,positive,0.5,0.5,0.0,0.828,0.172,0.4019
AD_Cr5,7,shahzainnpk,israel needs another dose vaccine savegazafromzionists htpstcoazrukxdfm,23,neutral,0.0,0.0,0.0,1.0,0.0,0.0
AnonymousBread2,414,AnitaLea1,israel news ’ think ’ coming city near ’ buy sell without vaccine so…,134012,neutral,0.1,0.4,0.0,1.0,0.0,0.0
ekaniveriyaa,67,UmarNaseerMV,behalf dna call government reject covid vaccine israel denying right palestinians amp send…,48264,negative,0.2857142857142857,0.5357142857142857,0.317,0.683,0.0,-0.6249
52Fabienne,2510,lacavernemythe,c'est à peu près le fonctionement de cete arnaque en général d'aileur…,805,neutral,0.0,0.0,0.0,1.0,0.0,0.0
DrJayanThiyagu,4506,Beahumane1st,th pt manmohan 's letter dated explaining allow companies vaccine production also highlights th…,381,positive,0.0,0.0,0.0,0.872,0.128,0.2263
ShoaibR62422311,3,Zameerkararvi,gazaunderatack palestinebleding palestineunderatack savepalestine covidisraelka vaccine tayar ho chuki…,471,neutral,0.0,0.0,0.0,1.0,0.0,0.0
esCapeII,44,sitikasim,like see people need antibodo vaccine appeared thread concerning israel palestine conflict wat…,13577,positive,0.0,0.0,0.146,0.696,0.158,0.0516
vaccine_done,88,BreakingTUBE,भारतीय मुसलमान इजरायल से सीखें देशभक्ति भारत में रहकर उसी से गद्दारी करने वालों से तो कुत्ता बेहतर bjp विधायक …,7088,neutral,0.0,0.0,0.0,1.0,0.0,0.0
StephenDarori,613,Gil_Hoffman,pfizer tells didnt tell israelis truth plans open vaccine rampd center…,28192,negative,0.0,0.5,0.164,0.836,0.0,-0.2411
UnitedHAcKtvist,3727,HausofHilton,“ israel ’ times likely covid vaccine palestine “ ’ even get proper access…,108717,neutral,0.0,0.55,0.0,1.0,0.0,0.0
JohnD91394640,790,Ulla96491593,israel studying possible link hea inflammation pfizerbiontech covid shot vaccine reaction https…,120,neutral,0.0,1.0,0.0,1.0,0.0,0.0
CaronaUpdates,1378,johnpilger,behind west 's veil propaganda always truth palestine read moving account gaza worl…,193009,positive,-0.25,0.39999999999999997,0.131,0.719,0.15,0.0772
IngridCapeTown,129,ChelseaClinton,could making covid vaccines places potentially bangladesh canada denmark indonesia israel pak…,2992241,neutral,0.0,1.0,0.0,1.0,0.0,0.0
RivaCywiak,1651,FreedomIsrael_,covid vaccination repos israel htpstcojgqrmf,7354,neutral,0.0,0.0,0.0,1.0,0.0,0.0
abe11i,8,TAlnawaiseh,israel highest number people receiving covid vaccine worldwide deprived palestinians the…,1585,negative,0.0,0.0,0.231,0.672,0.097,-0.4215
cathyjones173,539,spectator,‘ want credit nhs went well pandemic must also permissible talk role in…,209173,positive,0.0,0.0,0.0,0.6,0.4,0.6124
Ireland2020,3515,acacia_the,persist spreading misinformation covid amplifying grifters…,46,negative,0.0,0.0,0.315,0.685,0.0,-0.3182
stevenaren_,0,akurze,life vaccine israel htpstcoqbyfvue,494,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Romeovl0gx,0,theage,federal health minister greg hunt revealed australia issued doses covid vaccine within hour per…,903899,neutral,0.0,0.0,0.0,1.0,0.0,0.0
rise_israel,1,BNODesk,children ages received first dose pfizer 's covid vaccine cdc says,232427,neutral,0.25,0.3333333333333333,0.0,1.0,0.0,0.0
WolfDog__,67,croatiangrug,pfizer 's ceo jewish astrazeneca 's ceo israel 's teva pharmaceuticals ceo ie jewis…,38,neutral,0.0,0.0,0.0,1.0,0.0,0.0
JoelADiBacco,2967,Jim_Jordan,joe biden ’ presidency far gas crisis border crisis closed schools inflation rising israel attack crime u…,2023062,negative,0.0,0.55,0.552,0.448,0.0,-0.9413
kelene_k,465,voxdotcom,new covid cases dropped daily deaths nearly gone israel vaccine paspos pa t…,1023839,neutral,0.07878787878787878,0.28484848484848485,0.0,1.0,0.0,0.0
breakingnewsbo1,596,Rudy44905478,hunt points biggest source confidence covid vaccine htpstcotoaeslmc,0,positive,0.0,0.0,0.0,0.68,0.32,0.5106
biene6817,732,derliebeMichi,mensch helge da gibts israel aber auch ne menge coronaleugner mit judenstern auf demos oder sind die vo…,1280,negative,0.0,0.0,0.187,0.813,0.0,-0.5994
danabatnag,2533,DrTonyLeachon,one factor driving “ huge crowd brand vaccine due sciencebased approach real world experie…,34518,positive,0.15833333333333335,0.525,0.0,0.839,0.161,0.3182
BroBillRogers,1329,AriLevitan,go lieing israel course bringing beloved grandmother yes one…,1111,positive,0.7,1.0,0.0,0.538,0.462,0.7184
PAROLE_auPeuple,4059,LidaMayer2,sauf que compagnie aérienes déjà en israël défavorables pour les pasagers vaciné à cause de très foe risque…,169,negative,0.0,0.0,0.153,0.847,0.0,-0.4404
sfiyah5770,66,spectatorindex,covid vaccine doses given per people israel uae chile uk us germany spain canada…,1879170,neutral,0.0,0.0,0.0,1.0,0.0,0.0
grahamgords1002,232,Silverfox1949xx,refusenik rɪˈfjuːznɪk noun person former soviet union refused permission to…,989,negative,0.0,0.0,0.196,0.804,0.0,-0.296
MarkThomas6528,279,tchbastard,scott morrison fukwit israel terrorist state vaccine rolout mess life sucks many us agre…,1644,negative,0.00833333333333334,0.325,0.469,0.531,0.0,-0.8658
1101_nyann,224,akira_pt4ever,「ワクチンを接種したほうが感染しやすくなる」 「南アフリカ変異種は、ワクチン接種を受けていない人たちより、接種を受けた人々のほうが 倍多く感染していた」イスラエルの研究 htpstcocxptuonub htpst…,3453,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Bryce57Hicks,289,SullyBobbi,n't unmake israel found htpstcokdmesvhf,5605,neutral,0.0,0.0,0.0,1.0,0.0,0.0
CheaterCoughin,108,damo_pelham3,right israel year olds prevent take exam experimental jab access shopping…,4349,positive,0.19285714285714284,0.46785714285714286,0.0,0.901,0.099,0.0258
Yaaro_,13849,VincentRK,hard going get true herd immunity hard get population immune need vaccinate of…,50973,positive,-0.07777777777777779,0.5777777777777778,0.167,0.536,0.298,0.4939
shatho_f,1,BradyBaron,could n't see could provided people ga…,423,neutral,0.0,0.0,0.0,1.0,0.0,0.0
Nasso_Israel,170,SolecialGirl,covid vaccine 💉 free insulin children amp adults need live ’ 🤔 healthcare system suspici…,6282,positive,0.2681818181818182,0.65,0.0,0.769,0.231,0.5106
padakitty,1634,InfectiousDz,israel bahrain agreed create vaccine paspo corridor htpstcovfcftclg,32653,positive,0.0,0.0,0.0,0.588,0.412,0.4939
AlCaselli,15291,Easy_Branches,morning news full broadcast may nbc news israel hamas resume fighting president biden voices s…,51696,negative,0.35,0.55,0.152,0.848,0.0,-0.3612
