user,followers_count,friends_count,retweet_count,favorite_count,text
tuzzi,5517,207,8,0,"RT @JohnDennisFCO: Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with @MOFA_Taiw…"
InCytometry,927,1421,4,0,"RT @AlastairMcA30: @naomirwolf @AlexBerenson Why do you persist in spreading misinformation about vaccines? In amplifying grifters?
People…"
AyaHitaisyou,397,1826,8,0,"RT @JohnDennisFCO: Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with @MOFA_Taiw…"
Rosewind2007,2709,4995,4,0,"RT @AlastairMcA30: @naomirwolf @AlexBerenson Why do you persist in spreading misinformation about vaccines? In amplifying grifters?
People…"
RouachEric,514,432,15,0,RT @Europe_Israel: Apartheid ? Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations d’Amnesty et…
GartsideJackie,694,426,274,0,"RT @charlesbrew: Are There Studies of Vaccine vs. Natural Immunity from Covid?

Yes, there is one that covers the entire population of Isra…"
Udiaq,169,223,15,0,RT @Europe_Israel: Apartheid ? Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations d’Amnesty et…
740205,232,396,274,0,"RT @charlesbrew: Are There Studies of Vaccine vs. Natural Immunity from Covid?

Yes, there is one that covers the entire population of Isra…"
2aJeanPierre,2261,3110,15,0,RT @Europe_Israel: Apartheid ? Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations d’Amnesty et…
SAFF1YA,1543,749,0,2,antivaxx yang cakap malaysia ambik vaccine from Israel ni tak tahu ke kita tak boleh ada any business with Israel ?… https://t.co/eCT5J7VS6F
syamint_,389,722,0,0,High ke dia ni? President israel tu tunjuk vaccine yang dia first ambil. Jauh betul mengkaji 🤡 https://t.co/OkDJlZ7TbK
SAFF1YA,1543,749,51,0,RT @xunnysideup_: @kasihirisleona gurl if israel yg buat vaccine tu don’t you think our government wouldve already taken action in the firs…
itssuf,485,638,39,0,RT @MusaubKhanMD: Israel’s vaccination success is predicated on denying Palestinians the vaccine. When Israel vaccinated 50% of their popul…
boushibshib,466,161,39,0,RT @MusaubKhanMD: Israel’s vaccination success is predicated on denying Palestinians the vaccine. When Israel vaccinated 50% of their popul…
RAVIKUM27173240,3,20,0,0,"@Syedzabir007 @ArvindKejriwal #I_STAND_WITH_ISRAEL 
you don't have to be a Hindu... only nationalism because israel… https://t.co/2avhD4hUEV"
MargaretKLewis,9053,948,8,0,"RT @JohnDennisFCO: Today, 410k more doses of COVAX Astra Zeneca vaccine arrived here in Taiwan. Yesterday, the UK co-hosted with @MOFA_Taiw…"
JeancyrilHelfer,75,178,0,0,Apartheid ? @cnews Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations… https://t.co/15maypefhP
nissoc,228,523,15,0,RT @Europe_Israel: Apartheid ? Un Arabe israélien confirme qu’Israël a vacciné les Palestiniens contrairement aux affirmations d’Amnesty et…
tankovicdamir,46628,0,0,0,World of Freedom or Covidiocracy @ https://t.co/pNxvAyotZn #covid #health #health #who #croatia #korona #Australia… https://t.co/26qW19BegI
ajistinju,190,455,0,0,Presiden israel nuclear vaccine. Item happened. 🤣 https://t.co/fIVWdDLffF
