user,followers_count,friends_count,retweet_count,favorite_count,text
paperteacher121,1107,1359,0,0,Hong Kong’s vaccine drive is faltering. Here’s why https://t.co/3c3VDqqudm
ryan_chua,423705,3308,0,0,Coronavirus: Hong Kong health experts push to expand vaccine programme to include BioNTech jabs for those aged 12 t… https://t.co/2KB81NSlWE
StrawberryNG,1919,1676,0,0,Hong Kong's vaccine drive is faltering. Here's why - CNN Video https://t.co/D2UTIaLPtI
AlbertMylesAM,2969,4770,0,0,More Than 2M Vaccine Shots Given In HKSAR | Hong Kong | China Daily https://t.co/bNmZpeZ1EX
feedpushr,80,0,0,0,"Hong Kong's vaccine drive is faltering. Here's why
https://t.co/f42wpX4tS8"
HongKonginNL,1141,478,0,0,Coronavirus: #HongKong health experts push to expand vaccine programme to include BioNTech jabs for those aged 12 t… https://t.co/lYIZeygZVq
HongKong,2831,799,0,0,Coronavirus: Hong Kong health experts push to expand vaccine programme to include BioNTech jabs for those aged 12 t… https://t.co/c52EVcXrgN
NineDragons2,389,143,0,0,"Vaccine progress:
Looking at the progress in the countries with the most known #COVID19 cases, plus Hong Kong &amp; Chi… https://t.co/DiFj0rmyzj"
SCMPHongKong,14084,9,1,3,Coronavirus: Hong Kong health experts push to expand vaccine programme to include BioNTech jabs for those aged 12 t… https://t.co/YjcNeVL4Qu
ZyiteGadgets,2950,4817,0,0,Coronavirus: Hong Kong health experts push to expand vaccine programme to include BioNTech jabs for those aged 12 t… https://t.co/7EHGIOBvtf
BrianRhoadsHK,5742,1309,0,2,Coronavirus: Hong Kong health experts push to expand vaccine programme to include BioNTech jabs for those aged 12 t… https://t.co/VVj0Gu9d56
LeoganeMickael,32,245,0,0,Coronavirus: Hong Kong health experts push to expand vaccine programme to include BioNTech jabs for those aged 12 t… https://t.co/4UvpNwkGWW
AndyVermaut,30140,26837,0,0,COVID-19 vaccine hesitancy is costing Hong Kong https://t.co/xXkDiAARPb https://t.co/4c3HRfF8aO
tweet4852,502,2388,2,0,"RT @firstdraftnews: In the second of First Draft's series on online narratives about China’s vaccines, @estherswchan examines the reasons w…"
Starshadow,458,530,0,1,@rosemaryCNN @klustout great report on reaction to vaccination in Hong Kong. But now I wonder: will the attitude of… https://t.co/JOYrPC46i1
CaronaUpdates,1376,1,2,0,"RT @firstdraftnews: In the second of First Draft's series on online narratives about China’s vaccines, @estherswchan examines the reasons w…"
ivsbghostie,6,57,0,0,https://t.co/sPCpGxLbub
