Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_25,Scene8,On,On,0.0200,0.1400,0.1200,-0.9026,0.0879,0.4214,Others
exp_25,Scene8,On,On,0.1800,0.2800,0.1000,-0.8937,0.0796,0.4416,Others
exp_25,Scene8,On,On,0.3400,0.4800,0.1400,-0.8266,0.1060,0.5527,Others
exp_25,Scene8,On,On,0.6400,0.7000,0.0600,-0.8230,0.1151,0.5563,Others
exp_25,Scene8,On,On,0.8000,0.8800,0.0800,-0.8123,0.1295,0.5686,Others
exp_25,Scene8,On,On,1.2600,1.4400,0.1800,-0.4587,-0.2788,0.8437,Text
exp_25,Scene8,On,On,1.5200,1.6400,0.1200,-0.2703,-0.2765,0.9222,Text
exp_25,Scene8,On,On,1.8000,1.9400,0.1400,-0.2750,-0.2748,0.9213,Text
exp_25,Scene8,On,On,2.0000,2.1000,0.1000,-0.3590,-0.2631,0.8955,Text
exp_25,Scene8,On,On,2.1600,2.3400,0.1800,-0.1844,-0.2783,0.9426,Text
exp_25,Scene8,On,On,2.4800,2.5400,0.0600,0.0234,-0.3084,0.9510,Text
exp_25,Scene8,On,On,2.5800,2.7400,0.1600,0.0227,-0.2929,0.9559,Text
exp_25,Scene8,On,On,2.8200,2.9600,0.1400,0.2513,-0.2682,0.9300,Text
exp_25,Scene8,On,On,3.0600,3.1800,0.1200,0.4089,-0.3046,0.8603,Text
exp_25,Scene8,On,On,3.2200,3.3400,0.1200,0.4031,-0.2809,0.8710,Text
exp_25,Scene8,On,On,3.3800,3.5600,0.1800,0.5539,-0.2589,0.7913,Text
exp_25,Scene8,On,On,3.8800,3.9400,0.0600,-0.1449,-0.3347,0.9311,Text
exp_25,Scene8,On,On,3.9800,4.0400,0.0600,-0.0986,-0.3394,0.9354,Text
exp_25,Scene8,On,On,4.1200,4.1800,0.0600,-0.0764,-0.3359,0.9388,Text
exp_25,Scene8,On,On,4.2200,4.2800,0.0600,-0.1180,-0.3407,0.9327,Text
exp_25,Scene8,On,On,4.3400,4.4600,0.1200,0.0142,-0.3556,0.9345,Text
exp_25,Scene8,On,On,4.6600,4.8600,0.2000,0.5322,-0.2552,0.8072,Text
exp_25,Scene8,On,On,4.9800,5.0400,0.0600,0.4107,-0.2822,0.8670,Text
exp_25,Scene8,On,On,5.2600,5.5000,0.2400,0.5103,-0.2607,0.8195,Text
exp_25,Scene8,On,On,5.5600,5.6200,0.0600,0.3249,-0.2668,0.9073,Text
exp_25,Scene8,On,On,5.6600,5.7200,0.0600,0.2848,-0.2733,0.9188,Text
exp_25,Scene8,On,On,6.2600,6.3800,0.1200,-0.2991,-0.7884,0.5375,Text
exp_25,Scene8,On,On,6.5000,6.5800,0.0800,-0.4530,-0.6955,0.5578,Text
exp_25,Scene8,On,On,6.7200,6.7800,0.0600,-0.5663,-0.6229,0.5398,Text
exp_25,Scene8,On,On,6.9200,7.1000,0.1800,-0.5426,-0.6200,0.5667,Text
exp_25,Scene8,On,On,7.3400,7.4000,0.0600,-0.4736,-0.6796,0.5602,Text
exp_25,Scene8,On,On,7.5800,7.6400,0.0600,-0.3684,-0.7186,0.5899,Text
exp_25,Scene8,On,On,7.6800,7.7400,0.0600,-0.3560,-0.7040,0.6145,Text
