Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_26,Scene6,Off,Off,0.6000,0.6600,0.0600,-0.9952,-0.0128,-0.0974,Culturual  Heritage
exp_26,Scene6,Off,Off,0.8400,0.9400,0.1000,-0.8185,0.0977,-0.5662,Culturual  Heritage
exp_26,Scene6,Off,Off,1.1400,1.2400,0.1000,-0.7232,-0.0092,-0.6905,Culturual  Heritage
exp_26,Scene6,Off,Off,1.3400,1.4800,0.1400,-0.4004,0.0536,-0.9148,Culturual  Heritage
exp_26,Scene6,Off,Off,1.6000,1.7000,0.1000,-0.2404,0.1424,-0.9602,Culturual  Heritage
exp_26,Scene6,Off,Off,1.8000,1.8600,0.0600,-0.1265,0.2560,-0.9584,Culturual  Heritage
exp_26,Scene6,Off,Off,2.1600,2.2400,0.0800,0.0904,0.1405,-0.9859,Culturual  Heritage
exp_26,Scene6,Off,Off,2.6000,2.6800,0.0800,0.6533,0.0514,-0.7554,Tamed nature
exp_26,Scene6,Off,Off,2.8600,3.0000,0.1400,0.8652,0.0394,-0.4999,Tamed nature
exp_26,Scene6,Off,Off,3.2000,3.3000,0.1000,0.9563,0.0875,-0.2791,Culturual  Heritage
exp_26,Scene6,Off,Off,3.4600,3.5400,0.0800,0.9742,0.1435,-0.1743,Tamed nature
exp_26,Scene6,Off,Off,3.6200,3.6800,0.0600,0.9501,0.1949,-0.2435,Culturual  Heritage
exp_26,Scene6,Off,Off,4.3400,4.4200,0.0800,-0.8251,0.0545,-0.5623,Culturual  Heritage
exp_26,Scene6,Off,Off,4.6400,4.7200,0.0800,-0.9973,0.0617,-0.0397,Culturual  Heritage
exp_26,Scene6,Off,Off,4.7600,4.8200,0.0600,-0.9982,0.0587,-0.0084,Culturual  Heritage
exp_26,Scene6,Off,Off,5.0200,5.1200,0.1000,-0.9347,0.0645,0.3496,Culturual  Heritage
exp_26,Scene6,Off,Off,5.2400,5.3000,0.0600,-0.7429,0.1941,0.6406,Tamed nature
exp_26,Scene6,Off,Off,5.3600,5.4400,0.0800,-0.7168,0.1829,0.6728,Culturual  Heritage
exp_26,Scene6,Off,Off,5.8200,5.8800,0.0600,-0.3749,0.2522,0.8921,Culturual  Heritage
exp_26,Scene6,Off,Off,6.0200,6.1200,0.1000,-0.1341,0.2686,0.9539,Culturual  Heritage
exp_26,Scene6,Off,Off,6.1600,6.2600,0.1000,-0.1099,0.2466,0.9629,Culturual  Heritage
exp_26,Scene6,Off,Off,6.6000,6.7400,0.1400,0.0586,0.2061,0.9768,Culturual  Heritage
exp_26,Scene6,Off,Off,6.8000,7.0600,0.2600,0.0465,0.1680,0.9847,Culturual  Heritage
exp_26,Scene6,Off,Off,7.1600,7.2400,0.0800,0.0900,0.2554,0.9626,Culturual  Heritage
exp_26,Scene6,Off,Off,7.3800,7.5200,0.1400,0.4881,0.3126,0.8149,Culturual  Heritage
exp_26,Scene6,Off,Off,7.6600,7.7200,0.0600,0.5030,0.2942,0.8127,Culturual  Heritage
exp_26,Scene6,Off,Off,7.7800,7.8600,0.0800,0.6186,0.3149,0.7199,Culturual  Heritage
exp_26,Scene6,Off,Off,8.2400,8.4200,0.1800,0.7435,0.1875,0.6419,Culturual  Heritage
exp_26,Scene6,Off,Off,8.4800,8.7400,0.2600,0.7512,0.1172,0.6496,Tamed nature
exp_26,Scene6,Off,Off,8.7800,8.9200,0.1400,0.7083,0.0259,0.7054,Culturual  Heritage
exp_26,Scene6,Off,Off,8.9600,9.0600,0.1000,0.6935,0.0421,0.7193,Culturual  Heritage
exp_26,Scene6,Off,Off,9.1800,9.4200,0.2400,0.6861,-0.1999,0.6995,Culturual  Heritage
exp_26,Scene6,Off,Off,9.4600,9.5400,0.0800,0.7154,-0.1903,0.6723,Culturual  Heritage
exp_26,Scene6,Off,Off,9.5800,9.7200,0.1400,0.7283,-0.2224,0.6481,Culturual  Heritage
exp_26,Scene6,Off,Off,9.7800,9.8400,0.0600,0.7221,-0.2552,0.6430,Culturual  Heritage
exp_26,Scene6,Off,Off,9.9800,10.0400,0.0600,0.6767,-0.4405,0.5900,Culturual  Heritage
exp_26,Scene6,Off,Off,10.1600,10.2800,0.1200,0.6114,-0.5722,0.5466,Culturual  Heritage
exp_26,Scene6,Off,Off,10.3800,10.4400,0.0600,0.5018,-0.7091,0.4953,Culturual  Heritage
exp_26,Scene6,Off,Off,10.4800,10.5400,0.0600,0.5103,-0.7049,0.4927,Culturual  Heritage
exp_26,Scene6,Off,Off,10.5800,10.6400,0.0600,0.6869,-0.3673,0.6271,Culturual  Heritage
exp_26,Scene6,Off,Off,10.7600,10.8800,0.1200,0.7166,-0.3274,0.6159,Culturual  Heritage
