Participant,heritage,Text on-off,Audio on-off,Fix.startTime,Fix.endTime,Fix.duration,Fix.x,Fix.y,Fix.z,Fix.objectType
exp_38,Scene5,On,Off,0.1200,0.2200,0.1000,0.0339,-0.2651,0.9636,Text
exp_38,Scene5,On,Off,0.2600,0.3200,0.0600,0.0114,-0.2683,0.9633,Text
exp_38,Scene5,On,Off,0.9200,0.9800,0.0600,-0.0030,0.3517,0.9361,Culturual  Heritage
exp_38,Scene5,On,Off,1.0200,1.1600,0.1400,-0.0097,0.3431,0.9393,Culturual  Heritage
exp_38,Scene5,On,Off,1.2200,1.3200,0.1000,0.0023,0.3777,0.9259,Culturual  Heritage
exp_38,Scene5,On,Off,1.4200,1.4800,0.0600,0.1537,0.3736,0.9148,Culturual  Heritage
exp_38,Scene5,On,Off,1.6600,1.7200,0.0600,0.1436,0.3158,0.9379,Culturual  Heritage
exp_38,Scene5,On,Off,1.7600,1.9400,0.1800,0.1493,0.2838,0.9472,Culturual  Heritage
exp_38,Scene5,On,Off,2.0000,2.0800,0.0800,0.0315,0.2773,0.9603,Culturual  Heritage
exp_38,Scene5,On,Off,2.1400,2.2000,0.0600,-0.0132,0.2791,0.9602,Culturual  Heritage
exp_38,Scene5,On,Off,2.2400,2.3400,0.1000,0.0005,0.2715,0.9624,Culturual  Heritage
exp_38,Scene5,On,Off,3.0800,3.2000,0.1200,-0.1539,0.2341,0.9600,Culturual  Heritage
exp_38,Scene5,On,Off,3.2400,3.3200,0.0800,-0.0240,0.2205,0.9751,Culturual  Heritage
exp_38,Scene5,On,Off,3.4400,3.6000,0.1600,0.0730,0.3857,0.9197,Culturual  Heritage
exp_38,Scene5,On,Off,3.6600,3.9600,0.3000,-0.0462,0.2482,0.9676,Culturual  Heritage
exp_38,Scene5,On,Off,4.0800,4.2000,0.1200,-0.1154,0.3490,0.9300,Culturual  Heritage
exp_38,Scene5,On,Off,4.2400,4.3800,0.1400,0.1354,0.2985,0.9447,Culturual  Heritage
exp_38,Scene5,On,Off,4.4400,4.5000,0.0600,0.1482,0.2864,0.9466,Culturual  Heritage
exp_38,Scene5,On,Off,4.5400,4.6200,0.0800,0.1670,0.2732,0.9473,Culturual  Heritage
exp_38,Scene5,On,Off,4.6600,4.7400,0.0800,0.1966,0.2934,0.9356,Culturual  Heritage
exp_38,Scene5,On,Off,5.4400,5.5600,0.1200,0.1587,0.2888,0.9441,Culturual  Heritage
exp_38,Scene5,On,Off,5.6800,5.8000,0.1200,0.0174,0.3043,0.9524,Culturual  Heritage
exp_38,Scene5,On,Off,6.1400,6.2400,0.1000,0.4867,-0.2366,0.8409,Text
exp_38,Scene5,On,Off,6.7600,6.8200,0.0600,-0.4833,-0.2490,0.8393,Others
exp_38,Scene5,On,Off,6.8600,6.9800,0.1200,-0.4591,-0.2468,0.8534,Text
exp_38,Scene5,On,Off,7.0200,7.1600,0.1400,-0.4389,-0.2318,0.8681,Text
exp_38,Scene5,On,Off,7.2000,7.3200,0.1200,-0.4246,-0.2193,0.8784,Text
exp_38,Scene5,On,Off,7.4200,7.4800,0.0600,-0.3266,-0.2708,0.9056,Text
exp_38,Scene5,On,Off,7.5200,7.6200,0.1000,-0.3066,-0.2602,0.9156,Text
exp_38,Scene5,On,Off,7.7600,7.8200,0.0600,-0.1773,-0.2792,0.9437,Text
exp_38,Scene5,On,Off,7.8600,7.9400,0.0800,0.0598,-0.2966,0.9531,Text
exp_38,Scene5,On,Off,7.9800,8.0400,0.0600,0.0366,-0.2873,0.9571,Text
exp_38,Scene5,On,Off,8.0800,8.4600,0.3800,0.0114,-0.2755,0.9612,Text
exp_38,Scene5,On,Off,8.5800,8.6600,0.0800,0.2490,-0.2715,0.9297,Text
exp_38,Scene5,On,Off,8.8400,8.9200,0.0800,0.2634,-0.2556,0.9302,Text
exp_38,Scene5,On,Off,9.0400,9.1600,0.1200,0.0067,-0.2796,0.9601,Text
exp_38,Scene5,On,Off,9.4000,9.4800,0.0800,-0.3781,-0.2368,0.8950,Text
exp_38,Scene5,On,Off,9.5200,9.6400,0.1200,-0.4118,-0.2153,0.8855,Culturual  Heritage
exp_38,Scene5,On,Off,9.7600,9.8600,0.1000,-0.3806,-0.2391,0.8933,Text
exp_38,Scene5,On,Off,10.0200,10.0800,0.0600,-0.2365,-0.2793,0.9306,Text
exp_38,Scene5,On,Off,10.1400,10.2800,0.1400,0.0523,0.0162,0.9985,Culturual  Heritage
exp_38,Scene5,On,Off,10.4000,10.5000,0.1000,-0.0742,-0.2703,0.9599,Text
exp_38,Scene5,On,Off,10.6600,10.7400,0.0800,0.0441,-0.3068,0.9508,Text
exp_38,Scene5,On,Off,10.7800,10.8600,0.0800,0.0317,-0.3336,0.9422,Text
exp_38,Scene5,On,Off,10.9000,10.9600,0.0600,0.0325,-0.3245,0.9453,Text
exp_38,Scene5,On,Off,11.0000,11.1000,0.1000,0.1768,-0.2832,0.9426,Text
exp_38,Scene5,On,Off,11.1800,11.2600,0.0800,0.4622,-0.2075,0.8622,Text
exp_38,Scene5,On,Off,11.3000,11.4200,0.1200,0.4716,-0.1996,0.8589,Text
exp_38,Scene5,On,Off,11.7400,11.8200,0.0800,0.6075,-0.2228,0.7625,Others
exp_38,Scene5,On,Off,11.9400,12.1000,0.1600,0.1461,0.0424,0.9884,Culturual  Heritage
exp_38,Scene5,On,Off,12.2000,12.2600,0.0600,0.1614,0.1816,0.9700,Culturual  Heritage
exp_38,Scene5,On,Off,12.5000,12.5600,0.0600,-0.0774,-0.3092,0.9478,Text
exp_38,Scene5,On,Off,12.8200,12.8800,0.0600,-0.1570,-0.3433,0.9260,Text
exp_38,Scene5,On,Off,13.0800,13.1600,0.0800,0.3857,-0.2948,0.8742,Text
exp_38,Scene5,On,Off,13.2000,13.2800,0.0800,0.2205,-0.3351,0.9160,Text
exp_38,Scene5,On,Off,13.3600,13.4200,0.0600,0.0172,-0.3385,0.9408,Text
exp_38,Scene5,On,Off,13.4600,13.6200,0.1600,0.0492,-0.3451,0.9373,Text
exp_38,Scene5,On,Off,14.0400,14.1000,0.0600,0.0506,-0.3331,0.9415,Text
exp_38,Scene5,On,Off,14.1400,14.2200,0.0800,-0.0674,-0.3602,0.9304,Text
exp_38,Scene5,On,Off,14.2600,14.3600,0.1000,0.1752,-0.3307,0.9273,Text
exp_38,Scene5,On,Off,14.7200,14.9000,0.1800,0.3771,-0.2897,0.8797,Text
exp_38,Scene5,On,Off,14.9400,15.0200,0.0800,0.3509,-0.3089,0.8840,Text
exp_38,Scene5,On,Off,15.0800,15.1400,0.0600,0.2202,-0.3013,0.9278,Text
exp_38,Scene5,On,Off,15.5800,15.6800,0.1000,0.1278,-0.2734,0.9534,Text
exp_38,Scene5,On,Off,15.7200,15.8000,0.0800,0.1470,-0.2924,0.9449,Text
exp_38,Scene5,On,Off,16.0000,16.1000,0.1000,0.1351,-0.8833,0.4490,Others
exp_38,Scene5,On,Off,16.2200,16.3800,0.1600,0.1653,-0.9016,0.3998,Others
exp_38,Scene5,On,Off,16.5000,16.6000,0.1000,0.0272,-0.9110,0.4115,Others
exp_38,Scene5,On,Off,16.7600,16.8800,0.1200,0.1499,-0.9237,0.3527,Others
exp_38,Scene5,On,Off,16.9200,17.0000,0.0800,0.0684,-0.9234,0.3777,Others
exp_38,Scene5,On,Off,17.7800,18.0000,0.2200,0.0549,0.3080,0.9498,Culturual  Heritage
exp_38,Scene5,On,Off,18.1400,18.2000,0.0600,-0.2394,0.2786,0.9301,Culturual  Heritage
exp_38,Scene5,On,Off,18.2400,18.3600,0.1200,-0.0602,0.2781,0.9587,Culturual  Heritage
exp_38,Scene5,On,Off,18.4000,18.4800,0.0800,-0.0557,0.2995,0.9525,Culturual  Heritage
exp_38,Scene5,On,Off,18.5200,18.6400,0.1200,-0.0607,0.3226,0.9446,Culturual  Heritage
exp_38,Scene5,On,Off,18.7800,18.8600,0.0800,-0.0165,0.2938,0.9557,Culturual  Heritage
exp_38,Scene5,On,Off,18.9800,19.1800,0.2000,-0.1482,0.2571,0.9549,Culturual  Heritage
exp_38,Scene5,On,Off,19.2400,19.3400,0.1000,-0.1437,0.2678,0.9527,Culturual  Heritage
exp_38,Scene5,On,Off,19.6000,19.6800,0.0800,0.1934,0.2746,0.9419,Culturual  Heritage
exp_38,Scene5,On,Off,19.8800,19.9600,0.0800,0.1882,0.2181,0.9576,Culturual  Heritage
exp_38,Scene5,On,Off,20.0000,20.0600,0.0600,0.1927,0.2249,0.9551,Culturual  Heritage
exp_38,Scene5,On,Off,20.1800,20.4800,0.3000,0.0056,0.2791,0.9602,Culturual  Heritage
exp_38,Scene5,On,Off,20.5200,20.8800,0.3600,0.0120,0.2567,0.9664,Culturual  Heritage
exp_38,Scene5,On,Off,20.9400,21.0400,0.1000,0.0849,0.6123,0.7861,Others
exp_38,Scene5,On,Off,22.7200,22.8200,0.1000,-0.1438,0.6696,0.7286,Tamed nature
exp_38,Scene5,On,Off,23.0200,23.1200,0.1000,-0.0968,0.6345,0.7668,Others
exp_38,Scene5,On,Off,23.3200,23.3800,0.0600,0.1396,0.5883,0.7965,Text
exp_38,Scene5,On,Off,23.4800,23.5400,0.0600,0.1217,0.5840,0.8026,Text
exp_38,Scene5,On,Off,23.8800,23.9400,0.0600,0.3219,0.5711,0.7551,Text
exp_38,Scene5,On,Off,24.6400,24.7200,0.0800,0.9035,0.1111,0.4138,Nature
exp_38,Scene5,On,Off,24.7800,24.8800,0.1000,0.8965,0.1108,0.4290,Nature
exp_38,Scene5,On,Off,25.2200,25.3400,0.1200,0.3226,0.7035,0.6333,Nature
exp_38,Scene5,On,Off,25.4000,25.5000,0.1000,0.3266,0.6077,0.7239,Nature
exp_38,Scene5,On,Off,25.5400,25.6200,0.0800,0.3249,0.6178,0.7161,Nature
exp_38,Scene5,On,Off,25.7600,25.8200,0.0600,0.3805,0.5809,0.7196,Nature
exp_38,Scene5,On,Off,25.9000,26.0200,0.1200,0.3831,0.5596,0.7349,Nature
exp_38,Scene5,On,Off,26.4800,26.5400,0.0600,-0.8640,0.4837,0.1398,Tamed nature
exp_38,Scene5,On,Off,26.9400,27.1000,0.1600,-0.9846,0.0206,0.1736,Urban
exp_38,Scene5,On,Off,27.1800,27.3000,0.1200,-0.9853,0.0360,0.1668,Urban
exp_38,Scene5,On,Off,27.5400,27.6400,0.1000,-0.8269,0.0917,0.5548,Urban
exp_38,Scene5,On,Off,28.0000,28.1000,0.1000,-0.7828,0.0650,0.6188,Urban
exp_38,Scene5,On,Off,29.1200,29.1800,0.0600,0.1632,0.1364,0.9771,Culturual  Heritage
exp_38,Scene5,On,Off,29.3400,29.4200,0.0800,0.1206,0.2933,0.9484,Culturual  Heritage
exp_38,Scene5,On,Off,29.5600,29.6400,0.0800,0.0806,0.2255,0.9709,Culturual  Heritage
exp_38,Scene5,On,Off,29.9600,30.0800,0.1200,0.1319,0.3500,0.9274,Culturual  Heritage
exp_38,Scene5,On,Off,30.3400,30.4200,0.0800,-0.2501,0.2618,0.9321,Culturual  Heritage
exp_38,Scene5,On,Off,30.6200,30.7400,0.1200,-0.0052,0.2495,0.9684,Culturual  Heritage
exp_38,Scene5,On,Off,30.8600,31.0200,0.1600,-0.1208,0.2380,0.9637,Culturual  Heritage
exp_38,Scene5,On,Off,31.2200,31.3400,0.1200,0.0002,0.4960,0.8683,Others
exp_38,Scene5,On,Off,31.3800,31.5400,0.1600,0.1608,0.2667,0.9503,Culturual  Heritage
exp_38,Scene5,On,Off,32.7400,32.9000,0.1600,0.8771,0.0961,0.4707,Culturual  Heritage
exp_38,Scene5,On,Off,33.0200,33.0800,0.0600,0.8656,0.1112,0.4882,Culturual  Heritage
exp_38,Scene5,On,Off,33.1800,33.2600,0.0800,0.9663,0.0808,0.2445,Nature
exp_38,Scene5,On,Off,33.3000,33.4200,0.1200,0.9730,0.0956,0.2100,Nature
exp_38,Scene5,On,Off,33.6400,33.7800,0.1400,0.9728,0.0696,-0.2209,Urban
exp_38,Scene5,On,Off,33.9200,33.9800,0.0600,0.9607,0.2439,0.1326,Nature
exp_38,Scene5,On,Off,34.1800,34.2400,0.0600,0.9914,-0.1309,-0.0083,Text
exp_38,Scene5,On,Off,34.2800,34.4000,0.1200,0.9819,-0.1236,0.1438,Text
exp_38,Scene5,On,Off,34.5400,34.6200,0.0800,0.9932,-0.1138,-0.0236,Text
exp_38,Scene5,On,Off,34.7400,34.9400,0.2000,0.9717,-0.1554,0.1780,Text
exp_38,Scene5,On,Off,34.9800,35.0600,0.0800,0.9654,-0.1989,0.1685,Text
exp_38,Scene5,On,Off,35.1000,35.2600,0.1600,0.9599,-0.2086,0.1873,Text
exp_38,Scene5,On,Off,35.3000,36.1200,0.8200,0.9810,-0.1921,0.0270,Text
exp_38,Scene5,On,Off,36.2200,36.5400,0.3200,0.9729,-0.1581,0.1687,Text
exp_38,Scene5,On,Off,36.5800,36.7400,0.1600,0.9724,-0.1711,0.1588,Text
exp_38,Scene5,On,Off,36.8200,36.9000,0.0800,0.9756,-0.2055,-0.0766,Text
exp_38,Scene5,On,Off,37.1200,37.2200,0.1000,0.9564,-0.2337,0.1754,Text
exp_38,Scene5,On,Off,37.2600,37.4000,0.1400,0.9592,-0.2382,0.1523,Text
exp_38,Scene5,On,Off,37.4800,37.7000,0.2200,0.9715,-0.2331,0.0431,Text
exp_38,Scene5,On,Off,37.7400,37.8800,0.1400,0.9453,-0.2858,0.1573,Text
exp_38,Scene5,On,Off,37.9200,38.0200,0.1000,0.9407,-0.3133,0.1299,Text
exp_38,Scene5,On,Off,38.0600,38.2000,0.1400,0.9511,-0.2953,0.0902,Text
exp_38,Scene5,On,Off,38.2400,38.3600,0.1200,0.9498,-0.3042,0.0728,Text
exp_38,Scene5,On,Off,38.4000,38.9000,0.5000,0.9487,-0.3056,0.0809,Text
exp_38,Scene5,On,Off,38.9400,39.0400,0.1000,0.9502,-0.3046,0.0657,Text
exp_38,Scene5,On,Off,39.0800,39.2600,0.1800,0.9497,-0.3093,0.0484,Text
exp_38,Scene5,On,Off,39.3000,39.3600,0.0600,0.9512,-0.3013,0.0660,Text
exp_38,Scene5,On,Off,39.4800,39.6200,0.1400,0.9389,-0.3260,0.1105,Others
exp_38,Scene5,On,Off,39.6600,39.8200,0.1600,0.9438,-0.3047,0.1277,Text
