index,Participant No.,Scene No.,Text Cond.,Audio Cond.,ROI category,Saccade Count,Total Saccade Distance,Average Saccade Distance,Total Saccade Duration,Average Saccade Duration
0,exp_1,Scene1,Off,Off,Culturual  Heritage,195,53.36235402256762,0.2736530975516288,51.36000000000004,0.2633846153846156
1,exp_1,Scene1,Off,Off,Others,2,1.1405641310474475,0.5702820655237237,1.8999999999999986,0.9499999999999993
2,exp_1,Scene1,Off,Off,Tamed nature,8,3.8228259807082066,0.4778532475885258,3.2400000000000055,0.4050000000000007
3,exp_1,Scene1,Off,Off,Urban,38,7.736483784992056,0.20359167855242252,7.539999999999991,0.19842105263157872
4,exp_1,Scene2,Off,On,Culturual  Heritage,275,55.644269857323756,0.20234279948117728,45.15999999999997,0.1642181818181817
5,exp_1,Scene2,Off,On,Nature,4,0.44540673762759264,0.11135168440689816,1.0400000000000027,0.2600000000000007
6,exp_1,Scene2,Off,On,Tamed nature,9,3.629481145084522,0.4032756827871691,2.6799999999999864,0.29777777777777625
7,exp_1,Scene3,On,Off,Culturual  Heritage,5,1.9046621442330127,0.38093242884660256,1.2000000000000028,0.24000000000000057
8,exp_1,Scene3,On,Off,Others,2,0.1493700851836769,0.07468504259183845,0.6599999999999966,0.3299999999999983
9,exp_1,Scene3,On,Off,Tamed nature,7,2.5720722011196004,0.3674388858742286,3.759999999999998,0.5371428571428568
10,exp_1,Scene3,On,Off,Text,248,33.52355594567829,0.1351756288132189,34.71999999999996,0.13999999999999985
11,exp_1,Scene3,On,Off,Urban,28,7.1512956440416,0.2554034158586286,10.260000000000034,0.3664285714285726
12,exp_1,Scene4,On,On,Culturual  Heritage,30,7.501083827620673,0.25003612758735577,6.679999999999987,0.22266666666666624
13,exp_1,Scene4,On,On,Others,4,3.3171321680578716,0.8292830420144679,3.7800000000000047,0.9450000000000012
14,exp_1,Scene4,On,On,Tamed nature,6,1.8742344173007153,0.3123724028834525,1.3800000000000097,0.23000000000000162
15,exp_1,Scene4,On,On,Text,215,47.307310769549254,0.22003400357929886,39.07999999999997,0.18176744186046498
16,exp_1,Scene4,On,On,Urban,17,2.572799543812841,0.15134114963604947,3.0199999999999836,0.17764705882352844
17,exp_1,Scene5,Off,Off,Culturual  Heritage,133,23.191664736268503,0.174373419069688,25.320000000000025,0.19037593984962425
18,exp_1,Scene5,Off,Off,Nature,16,3.781423909981682,0.23633899437385514,3.819999999999993,0.23874999999999957
19,exp_1,Scene5,Off,Off,Others,66,13.144834197877326,0.19916415451329283,15.780000000000006,0.2390909090909092
20,exp_1,Scene5,Off,Off,Tamed nature,13,3.643910279331135,0.28030079071777964,5.439999999999989,0.4184615384615376
21,exp_1,Scene5,Off,Off,Urban,50,11.170623294309857,0.22341246588619715,10.820000000000048,0.21640000000000095
22,exp_1,Scene6,Off,On,Culturual  Heritage,245,45.59143470995325,0.18608748861205407,46.82000000000003,0.19110204081632665
23,exp_1,Scene6,Off,On,Others,3,0.5854268961513918,0.1951422987171306,1.0400000000000027,0.34666666666666757
24,exp_1,Scene6,Off,On,Tamed nature,19,5.306786464922331,0.2793045507853858,4.3200000000000145,0.22736842105263233
25,exp_1,Scene7,On,Off,Culturual  Heritage,141,20.516129664037795,0.1455044657023957,19.08,0.1353191489361702
26,exp_1,Scene7,On,Off,Others,1,0.9782068595138761,0.9782068595138761,1.3599999999999994,1.3599999999999994
27,exp_1,Scene7,On,Off,Text,182,25.015997810235195,0.1374505374188747,25.339999999999986,0.13923076923076916
28,exp_1,Scene8,On,On,Others,29,10.480245669594893,0.3613877817101687,6.8999999999999755,0.23793103448275776
29,exp_1,Scene8,On,On,Text,252,48.18970549862786,0.19122899007392008,43.88000000000004,0.17412698412698427
30,exp_1,Scene8,On,On,Urban,7,1.6122872536204649,0.23032675051720927,1.4600000000000009,0.20857142857142869
31,exp_12,Scene1,Off,On,Culturual  Heritage,169,52.99145097530014,0.3135588815106517,68.14000000000006,0.4031952662721897
32,exp_12,Scene1,Off,On,Tamed nature,5,1.7814693469929688,0.35629386939859375,2.8599999999999994,0.5719999999999998
33,exp_12,Scene1,Off,On,Urban,1,0.6854275964680734,0.6854275964680734,0.7600000000000016,0.7600000000000016
34,exp_12,Scene2,On,Off,Culturual  Heritage,28,10.920757332839221,0.3900270476014008,8.64,0.3085714285714286
35,exp_12,Scene2,On,Off,Nature,4,1.6613442631920177,0.4153360657980044,1.5,0.375
36,exp_12,Scene2,On,Off,Others,4,1.7041627910158805,0.42604069775397013,1.0199999999999925,0.2549999999999981
37,exp_12,Scene2,On,Off,Tamed nature,9,4.2459115458295935,0.4717679495366215,3.6200000000000223,0.4022222222222247
38,exp_12,Scene2,On,Off,Text,259,43.35744884711827,0.16740327740200103,38.13999999999993,0.147258687258687
39,exp_12,Scene3,On,On,Culturual  Heritage,25,7.3041003758424665,0.29216401503369865,7.740000000000009,0.3096000000000004
40,exp_12,Scene3,On,On,Others,5,2.700087500917685,0.540017500183537,2.460000000000008,0.4920000000000016
41,exp_12,Scene3,On,On,Text,238,45.61829659409889,0.19167351510125583,40.82000000000002,0.1715126050420169
42,exp_12,Scene3,On,On,Urban,9,1.1271429747488577,0.12523810830542864,1.7800000000000047,0.1977777777777783
43,exp_12,Scene4,Off,Off,Culturual  Heritage,83,22.050284752153107,0.26566608135124226,19.059999999999974,0.22963855421686716
44,exp_12,Scene4,Off,Off,Others,1,0.4007982410141042,0.4007982410141042,0.3400000000000034,0.3400000000000034
45,exp_12,Scene4,Off,Off,Tamed nature,93,22.166608298333664,0.23835062686380284,22.879999999999963,0.24602150537634368
46,exp_12,Scene4,Off,Off,Urban,67,18.829715628982335,0.28104053177585575,18.91999999999998,0.2823880597014922
47,exp_12,Scene5,Off,On,Culturual  Heritage,60,4.782665464871273,0.07971109108118787,9.740000000000013,0.16233333333333355
48,exp_12,Scene5,Off,On,Nature,11,1.660894028299267,0.15099036620902428,3.700000000000003,0.33636363636363664
49,exp_12,Scene5,Off,On,Others,5,0.6437661865587511,0.1287532373117502,1.2600000000000016,0.25200000000000033
50,exp_12,Scene5,Off,On,Tamed nature,67,11.668860758799259,0.17416210087760087,20.259999999999977,0.3023880597014922
51,exp_12,Scene5,Off,On,Urban,122,10.682147355066567,0.08755858487759481,23.299999999999947,0.19098360655737662
52,exp_12,Scene6,On,Off,Culturual  Heritage,50,17.074343457886663,0.34148686915773324,15.56000000000002,0.3112000000000004
53,exp_12,Scene6,On,Off,Others,10,6.250045916748695,0.6250045916748694,7.5400000000000045,0.7540000000000004
54,exp_12,Scene6,On,Off,Tamed nature,2,0.5138867244831696,0.2569433622415848,2.4399999999999977,1.2199999999999989
55,exp_12,Scene6,On,Off,Text,152,31.565912110892313,0.2076704744137652,37.11999999999992,0.24421052631578893
56,exp_12,Scene7,On,On,Culturual  Heritage,23,10.529639112285322,0.45781039618631836,7.319999999999981,0.31826086956521654
57,exp_12,Scene7,On,On,Others,2,0.9396300337625672,0.4698150168812836,0.6400000000000006,0.3200000000000003
58,exp_12,Scene7,On,On,Text,271,52.4383807971469,0.19349956013707342,43.59999999999996,0.1608856088560884
59,exp_12,Scene8,Off,Off,Others,195,56.282252714230836,0.28862693699605557,67.41999999999999,0.34574358974358965
60,exp_12,Scene8,Off,Off,Urban,7,1.0784005041115545,0.15405721487307922,1.7199999999999989,0.24571428571428555
61,exp_14,Scene1,Off,On,Culturual  Heritage,233,46.921392722335604,0.20137936790701977,46.58000000000002,0.19991416309012883
62,exp_14,Scene1,Off,On,Others,3,0.8600466414979379,0.28668221383264597,1.0999999999999908,0.3666666666666636
63,exp_14,Scene1,Off,On,Tamed nature,2,0.8026024837604543,0.40130124188022714,0.8199999999999932,0.4099999999999966
64,exp_14,Scene1,Off,On,Urban,27,7.15689577767868,0.26507021398809927,8.760000000000012,0.3244444444444449
65,exp_14,Scene2,On,Off,Culturual  Heritage,57,23.45871379305481,0.41155638233429487,19.300000000000033,0.33859649122807073
66,exp_14,Scene2,On,Off,Nature,9,3.090482256341814,0.34338691737131266,3.0599999999999756,0.3399999999999973
67,exp_14,Scene2,On,Off,Others,2,1.280629145784316,0.640314572892158,1.1600000000000001,0.5800000000000001
68,exp_14,Scene2,On,Off,Tamed nature,1,0.4532490816317227,0.4532490816317227,0.26000000000000023,0.26000000000000023
69,exp_14,Scene2,On,Off,Text,183,32.174493766571665,0.17581690582826046,26.92000000000006,0.14710382513661235
70,exp_14,Scene3,On,On,Culturual  Heritage,66,18.000434923606864,0.27273386247889186,10.89999999999999,0.165151515151515
71,exp_14,Scene3,On,On,Others,29,10.063098134981782,0.34700338396488906,11.360000000000001,0.3917241379310345
72,exp_14,Scene3,On,On,Tamed nature,12,3.6584798242471455,0.30487331868726214,5.7799999999999905,0.48166666666666585
73,exp_14,Scene3,On,On,Text,72,18.695356835538245,0.2596577338269201,28.139999999999993,0.39083333333333325
74,exp_14,Scene3,On,On,Urban,21,8.317381776520937,0.3960657988819494,8.819999999999999,0.41999999999999993
75,exp_14,Scene4,Off,Off,Culturual  Heritage,118,25.74495145783434,0.21817755472740966,26.960000000000004,0.22847457627118647
76,exp_14,Scene4,Off,Off,Others,9,4.6393108782311625,0.5154789864701291,3.5999999999999783,0.3999999999999976
77,exp_14,Scene4,Off,Off,Tamed nature,115,16.587149563989342,0.1442360831651247,15.960000000000022,0.13878260869565237
78,exp_14,Scene4,Off,Off,Urban,33,11.19316818421756,0.3391869146732594,9.20000000000004,0.27878787878788003
79,exp_14,Scene5,On,Off,Culturual  Heritage,15,6.2855044918629215,0.4190336327908614,4.299999999999987,0.28666666666666585
80,exp_14,Scene5,On,Off,Others,51,5.405539860682583,0.10599097766044281,15.299999999999974,0.2999999999999995
81,exp_14,Scene5,On,Off,Tamed nature,1,0.45408352755853193,0.45408352755853193,0.46000000000000085,0.46000000000000085
82,exp_14,Scene5,On,Off,Text,149,19.4585553691937,0.13059433133687048,34.379999999999995,0.23073825503355702
83,exp_14,Scene5,On,Off,Urban,13,2.0659953018746102,0.15892271552881618,2.899999999999981,0.2230769230769216
84,exp_14,Scene6,On,On,Culturual  Heritage,98,19.862233422499116,0.202675851249991,23.139999999999976,0.2361224489795916
85,exp_14,Scene6,On,On,Others,22,6.6664433153882605,0.30302015069946636,9.520000000000005,0.43272727272727296
86,exp_14,Scene6,On,On,Tamed nature,8,3.2731351546402516,0.40914189433003145,2.6999999999999957,0.33749999999999947
