Date,State,Purpose,Amount_Requested,Risk_Score,Debt_Income_Ratio,Employment_Length
201501,SD,Debt_Consolidation,18000,700,0.2192,4
201501,TX,Credit_Card,21000,690,0.225,11
201501,CO,Debt_Consolidation,9600,665,0.1224,7
201501,WA,Debt_Consolidation,23000,745,0.1479,1
201501,CA,Debt_Consolidation,22475,715,0.1776,8
201501,IL,Debt_Consolidation,15850,710,0.2269,1
201501,CA,Debt_Consolidation,24000,660,0.1178,11
201501,AL,Debt_Consolidation,24800,665,0.1479,6
201501,OH,Debt_Consolidation,18000,680,0.1554,9
201501,TX,Credit_Card,15000,705,0.1756,4
201501,CA,Debt_Consolidation,5000,665,0.2217,6
201501,TN,Debt_Consolidation,5000,670,0.1541,9
201501,MN,Credit_Card,28000,705,0.1715,11
201501,GA,Debt_Consolidation,29600,720,0.2048,3
201501,NJ,Debt_Consolidation,21000,695,0.1324,11
201501,PA,Debt_Consolidation,18000,680,0.1787,11
201501,TX,Debt_Consolidation,16000,670,0.0792,0
201501,TN,Credit_Card,5000,660,0.2524,1
201501,CA,Debt_Consolidation,35000,675,0.1698,11
201501,IL,Credit_Card,25000,715,0.0521,9
201501,FL,Debt_Consolidation,13000,690,0.2022,5
201501,TN,Housing,24000,735,0.1416,3
201501,NY,Debt_Consolidation,20000,690,0.0759,11
201501,MI,Debt_Consolidation,25200,675,0.2217,11
201501,AZ,Debt_Consolidation,13000,710,0.0696,11
201501,TX,Debt_Consolidation,15000,660,0.2529,1
201501,NY,Other,8400,675,0.2536,11
201501,IL,Credit_Card,5400,730,0.112,2
201501,CA,Credit_Card,15000,680,0.2324,11
201501,GA,Other,3000,660,0.0649,11
201501,FL,Credit_Card,18000,695,0.2192,1
201501,IN,Debt_Consolidation,24000,805,0.133,11
201501,WI,Debt_Consolidation,16850,720,0.3341,11
201501,NY,Debt_Consolidation,8000,690,0.1819,7
201501,TX,Debt_Consolidation,17000,680,0.2094,2
201501,MN,Credit_Card,16000,715,0.2587,5
201501,CO,Debt_Consolidation,15000,690,0.2904,11
201501,CA,Debt_Consolidation,4200,685,0.3737,5
201501,CA,Debt_Consolidation,13375,725,0.1717,11
201501,CA,Credit_Card,15000,700,0.0804,6
201501,MD,Debt_Consolidation,11000,705,0.2705,11
201501,IL,Debt_Consolidation,17000,660,0.2202,11
201501,CA,Other,10000,695,0.0586,8
201501,IN,Debt_Consolidation,35000,660,0.227,4
201501,TX,Debt_Consolidation,8500,725,0.1385,0
201501,NY,Debt_Consolidation,25000,815,0.1049,11
201501,CA,Credit_Card,12000,710,0.1281,11
201501,CA,Housing,21975,670,0.0268,1
201501,WI,Debt_Consolidation,26400,690,0.2093,1
201501,WA,Debt_Consolidation,14250,705,0.2236,7
201501,PA,Housing,15000,665,0.3062,4
201501,TX,Debt_Consolidation,10000,760,0.2365,11
201501,NY,Credit_Card,12000,685,0.1163,0
201501,KS,Housing,35000,785,0.0395,2
201501,CA,Other,10000,690,0.0956,3
201501,OH,Debt_Consolidation,29800,685,0.2523,11
201501,CA,Credit_Card,14000,690,0.1019,5
201501,MI,Other,7000,670,0.2596,6
201501,AK,Purchase,24000,715,0.1068,3
201501,CA,Debt_Consolidation,14800,660,0.2097,6
201501,OR,Debt_Consolidation,7500,675,0.2803,3
201501,CA,Debt_Consolidation,8000,675,0.2881,11
201501,FL,Debt_Consolidation,4800,675,0.2748,8
201501,NC,Debt_Consolidation,9550,665,0.2859,5
201501,OH,Credit_Card,30000,710,0.2526,1
201501,CA,Housing,30000,720,0.2189,8
201501,MO,Credit_Card,15000,660,0.1851,7
201501,TX,Credit_Card,8400,670,0.372,1
201501,NY,Debt_Consolidation,25000,745,0.3754,11
201501,MD,Debt_Consolidation,35000,670,0.1866,1
201501,WA,Debt_Consolidation,16000,690,0.1146,11
201501,CA,Debt_Consolidation,15000,715,0.0448,4
201501,IL,Debt_Consolidation,18000,685,0.0139,2
201501,UT,Debt_Consolidation,10000,685,0.2,7
201501,GA,Debt_Consolidation,11425,705,0.3419,5
201501,TN,Debt_Consolidation,4000,660,0.2102,1
201501,NC,Debt_Consolidation,12000,660,0.144,1
201501,IN,Debt_Consolidation,12025,720,0.2112,0
201501,SC,Debt_Consolidation,8000,665,0.1281,8
201501,MI,Debt_Consolidation,4000,660,0.2625,11
201501,CA,Debt_Consolidation,9100,735,0.1247,8
201501,CA,Debt_Consolidation,6925,665,0.024,2
201501,PA,Purchase,8000,690,0.1295,2
201501,NC,Debt_Consolidation,9000,675,0.0938,5
201501,WI,Purchase,2100,660,0.0855,11
201501,MD,Debt_Consolidation,15000,750,0.1715,3
201501,TX,Credit_Card,18000,665,0.3931,3
201501,AZ,Debt_Consolidation,29175,675,0.3231,6
201501,LA,Debt_Consolidation,8325,670,0.1238,11
201501,PA,Debt_Consolidation,7500,725,0.2464,11
201501,FL,Debt_Consolidation,20000,660,0.1454,11
201501,AZ,Debt_Consolidation,6000,670,0.3071,4
201501,FL,Debt_Consolidation,7000,660,0.2122,11
201501,TX,Debt_Consolidation,12000,705,0.2217,1
201501,HI,Debt_Consolidation,16700,715,0.1845,8
201501,MI,Credit_Card,8750,705,0.1935,3
201501,MI,Debt_Consolidation,34750,765,0.3497,1
201501,CA,Credit_Card,27500,665,0.2392,11
201501,TN,Debt_Consolidation,12000,670,0.1834,2
201501,OK,Debt_Consolidation,22000,740,0.2171,9
201501,NJ,Debt_Consolidation,16000,680,0.1591,11
