Study,P.Events,P.Total,C.Events,C.Total,Period
THUNDER,2,48,1,54,1
ZILVER-PTX,9,297,4,177,1
IN.PACT SFA,4,207,0,107,1
FEMPAC,1,45,0,42,1
LEVANT I,2,49,4,52,1
LEVANT II,7,290,4,144,1
CONSEQUENT,2,70,1,65,1
ILLUMENATE EU,3,199,1,61,1
ISAR-STATH,1,48,0,107,1
ISAR-PEBIS,1,33,0,33,1
ACOART I,2,100,2,100,1
IN.PACT SFA JAPAN,0,68,0,32,1
FINN-PTX,0,23,0,18,1
EFFPAC,1,85,2,86,1
LUTONIX JAPAN,1,71,1,38,1
PACIFIER,0,42,3,43,1
RANGER SFA,2,71,1,34,1
ILLUMENATE pivotal,4,200,1,100,1
BIOLUX P-I,0,30,2,30,1
DEBATE-SFA,2,53,1,51,1
DEBELLUM,0,25,0,25,1
FAIR,2,47,3,44,1
RAPID,1,80,2,80,1
BATTLE,1,86,2,85,1
DEBATE-INSFA,5,85,6,170,1
DRECOREST,4,29,2,28,1
PACUBA,0,35,0,39,1
FREEWAY,1,90,2,81,1
ZILVER-PTX,19,297,7,177,2
FINN-PTX,1,23,0,18,2
IN.PACT SFA,16,198,1,106,2
FEMPAC,7,45,3,42,2
LEVANT I,4,49,5,52,2
LEVANT II,21,278,7,140,2
CONSEQUENT,2,70,1,65,2
ILLUMENATE EU,13,199,3,59,2
ISAR-STATH,3,48,1,107,2
ISAR-PEBIS,3,28,0,29,2
ACOART I,8,96,6,95,2
IN.PACT SFA JAPAN,4,66,1,29,2
THUNDER,12,48,8,54,4 or 5
ZILVER-PTX,42,297,12,177,4 or 5
IN.PACT SFA,24,184,7,103,4 or 5
